				manner2	manner2	manner2	manner2	manner2	manner2	manner2	manner1	manner1			manner1	place1	place2	place2		place1	place2	place2	place2	place2	place1	place2	place2	place2	place1	place2	place2	place2	phonation	phonation	phonation	phonation	phonation	phonation	height	height	backness	backness			
IPA	X-SAMPA	consonantal	syllabic	nasal	stop	fricative	approximant	trill	flap	affricate	continuant	sonorant	lateral	rhotic	liquid	labial	bilabial	labiodental	lingual	coronal	dental	alveolar	post-alveolar	retroflex	dorsal	palatal	velar	uvular	laryngeal	pharyngeal	epiglottal	glottal	egressive	voice	nasalization	aspiration	ejective	click	high	low	front	back	round	tense	long
a	a	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	+	-	-	-	0	-
æ	{	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	+	+	-	-	0	-
ɑ	A	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	+	-	+	-	0	-
ɒ	Q	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	+	-	+	+	0	-
e	e	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	+	-	-	+	-
ə	@	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	-	-	-	-	-
ɛ	E	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	+	-	-	-	-
ɘ	@\	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	-	-	-	+	-
ɞ	3\	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	-	-	+	-	-
ɤ	7	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	-	+	-	+	-
i	i	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	+	-	+	-	-	+	-
ɪ	I	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	+	-	+	-	-	-	-
ɨ	1	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	+	-	-	-	-	+	-
o	o	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	-	+	+	+	-
ø	2	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	+	-	+	+	-
œ	9	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	+	-	+	-	-
ɶ	&	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	+	+	-	+	0	-
ɔ	O	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	-	+	+	-	-
ɵ	8	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	-	-	-	-	+	+	-
u	u	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	+	-	-	+	+	+	-
ʉ	}	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	+	-	-	-	+	+	-
ɯ	M	-	+	0	0	0	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	+	-	-	+	-	+	-
